t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.108,0.951600711,0.643263536,0.227250301,0.914634075,0.88091269,0.85899592
0.434,0.915344814,0.586117824,0.595133019,0.733099569,0.68893114,0.70580738
2.17,0.748033747,0.755751408,0.7518319,0.696589073,0.81823098,0.81513527
6.86,0.73325612,0.806299681,0.736009521,0.705958174,0.84959655,0.80854569
21.7,0.720440074,0.815020991,0.711368155,0.724326066,0.84770363,0.7951788
68.6,0.731901018,0.80106028,0.715081938,0.753526524,0.83147019,0.79880576
217,0.70946449,0.76551552,0.700100706,0.751513881,0.79700599,0.78274701
686,0.600358964,0.658616593,0.589940371,0.665030339,0.69216051,0.6894057
2170,0.450839799,0.49036245,0.368660642,0.497639915,0.51794768,0.51959204
6860,0.252487751,0.2747949,0.016390007,0.288363939,0.31329185,0.31580395
