t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.032,0.607712118,0.453841828,0.027922688,0.587425924,0.592680492,0.578686565
0.1,0.947837598,0.668697242,0.158373822,0.925302542,0.899512128,0.890986174
0.165,0.957078388,0.58504436,0.262502295,0.892983786,0.816473781,0.825194559
0.52,0.877759952,0.518591734,0.461582679,0.730298406,0.635049068,0.676166737
1.65,0.747653921,0.59159242,0.573650179,0.690629881,0.670924874,0.719456378
5.2,0.718868321,0.654086206,0.593274797,0.702337589,0.708971588,0.729074721
16.5,0.657888251,0.632666567,0.555405329,0.672405315,0.678514868,0.686439174
52,0.472635956,0.47059305,0.38475655,0.519927053,0.510146565,0.516792839
165,0.274845014,0.284926617,0.126127296,0.339767172,0.302937645,0.307938556
520,0.16415465,0.172137866,0.041759328,0.239745314,0.177419642,0.181539231
