t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.108,0.951601271,0.64247454,0.178397902,0.914587557,0.881233561,0.859167326
0.434,0.91541919,0.584378302,0.593989757,0.733126817,0.690094382,0.706427139
2.17,0.747351373,0.75221023,0.75011218,0.696264424,0.81857866,0.814908267
6.86,0.733126927,0.804063877,0.732641944,0.706738912,0.849962896,0.809267994
21.7,0.718172356,0.81460484,0.712106024,0.727402126,0.849071413,0.798170547
68.6,0.726015529,0.80191868,0.722254791,0.761819846,0.835696266,0.805620914
217,0.690918055,0.764272737,0.718447315,0.771033952,0.804317469,0.794034354
686,0.559728032,0.65486646,0.620652876,0.71976517,0.702500861,0.705980812
2170,0.453061776,0.485936328,0.428047221,0.618183798,0.519811127,0.524924245
6860,0.23832641,0.297318169,0.17904892,0.514738812,0.316193669,0.321517043
