t,BOTAN,CAGE,GlassMLP,SE3,EIGNN_Cage,EIGNN_Inh
0.032,0.607282601,0.453389709,0.02914913,0.587070719,0.592304307,0.57823794
0.1,0.947805553,0.66867614,0.158933476,0.925281244,0.899386881,0.89080756
0.165,0.957069994,0.585163344,0.262960819,0.893005997,0.816183504,0.82482328
0.52,0.877732341,0.519373053,0.4627142,0.730399842,0.634308363,0.67563079
1.65,0.747756614,0.591310699,0.574550647,0.690098382,0.669633273,0.71865698
5.2,0.719109816,0.65125694,0.592029452,0.69905404,0.706690936,0.72590752
16.5,0.660910673,0.627045456,0.552681555,0.662768439,0.673262847,0.67813562
52,0.477879212,0.462649636,0.372462359,0.492431503,0.50190019,0.50284193
165,0.278384255,0.277557208,0.128531082,0.28610666,0.296793444,0.29679823
520,0.165875567,0.161347019,0.028280317,0.167436804,0.174204011,0.17545138
